Title;Genre;Language;Summary;Link
Reuters TV;News;EN;Your world, your news. Catch up on what’s happening in the world 24/7 with Reuters News.;https://watch.plex.tv/live-tv/channel/reuters-tv
True Crime Now;True Crime;EN;True Crime Now features more than 1,000 true crime series and documentary films, with new content joining the channel each week.;https://watch.plex.tv/live-tv/channel/true-crime-now-2
Space Science Now;History & Science;EN;Journey to the deepest reaches of space and fly with astronauts into hostile extraterrestrial realms.;https://watch.plex.tv/live-tv/channel/space-science-now
Hardcore Pawn;Hit TV;EN;Step inside Les Gold's wild pawnshop filled with 45,000 stories—from alligators to prosthetic limbs, they navigate the unexpected!;https://watch.plex.tv/live-tv/channel/hardcore-pawn
MagellanTV NOW;Nature & Travel;EN;MagellanTV Now, documentaries worth watching.;https://watch.plex.tv/live-tv/channel/magellantv-now-3
The World Poker Tour;Sports;EN;The WPT ignited the global poker boom with a unique television show based on a series of high-stakes tournaments.;https://watch.plex.tv/live-tv/channel/the-world-poker-tour
The World Poker Tour;En Español;ES;El WPT encendió el auge mundial del póquer con un programa de televisión único basado en una serie de torneos de altas apuestas.;https://watch.plex.tv/live-tv/channel/the-world-poker-tour-3
It’s Showtime at the Apollo;Comedy;EN;Steve Harvey hosts legendary comedy & music talent at Harlem's Apollo Theater, with a boisterous and brutally honest audience!;https://watch.plex.tv/live-tv/channel/its-showtime-at-the-apollo
Eddie's Wonderland;Kids & Family;EN;Eddie loves to celebrate the holidays and his channel is full of holiday movies and shows that everyone can enjoy!;https://watch.plex.tv/live-tv/channel/eddies-wonderland-non-us
PBS History;History & Science;EN;From the Mayans to the battles of WWII, PBS History has documentaries for history buffs!;https://watch.plex.tv/live-tv/channel/pbs-history
BikeMag;Sports;EN;BikeMag explores cycling's personalities, trends, and films, inspiring audiences to push limits & discover the world on two wheels.;https://watch.plex.tv/live-tv/channel/bikemag
Powder;Sports;EN;Powder, the most trusted name in skiing, features original series, documentary films, in-depth features, live events and more.;https://watch.plex.tv/live-tv/channel/powder
Transworld Skateboarding;Sports;EN;Transworld Skateboarding: Global skateboarding leader, renowned for diverse stories, unique personalities & groundbreaking talent.;https://watch.plex.tv/live-tv/channel/transworld-skateboarding
Snowboarder;Sports;EN;The authority in snowboard culture delivering premium content and captivating stories that inspire audiences worldwide.;https://watch.plex.tv/live-tv/channel/snowboarder
Surfer;Sports;EN;Surfer, the ‘Bible of Surfing’, delivers unrivaled content and captivating stories that inspire, celebrate the world of Surfing.;https://watch.plex.tv/live-tv/channel/surfer
Kidz Bop TV;Kids & Family;EN;KIDZ BOP is the #1 music brand for kids, and KIDZ BOP TV is THE place to watch KIDZ BOP videos!;https://watch.plex.tv/live-tv/channel/kidz-bop-tv
Icon Film Channel Classic;Movies;EN;Relive beloved classics or discover your next favourite film on the Icon Film Channel.;https://watch.plex.tv/live-tv/channel/icon-film-channel-classic
GoUSA TV;Nature & Travel;EN;The premier streaming channel for content from the entire United States. Go-to spot for all travel related content from the USA.;https://watch.plex.tv/live-tv/channel/gousa-tv
The Talk Show Channel;Reality;EN;Unforgettable showbiz interviews.;https://watch.plex.tv/live-tv/channel/the-talk-show-channel
Stingray Holidayscapes;Nature & Travel;EN;Elevate your home and make every celebration memorable with perfectly themed holiday backdrops set to uplifting music.;https://watch.plex.tv/live-tv/channel/stingray-holidayscapes
MAVTV Motorsports Network;Sports;EN;MAVTV Motorsports Network offers the most comprehensive racing action, including sprint cars, late model dirt and off-road trucks.;https://watch.plex.tv/live-tv/channel/mavtv-motorsports-network
FailArmy;Comedy;EN;Failure is the only option. Binge the most epic fails from the worldwide leader in fails.;https://watch.plex.tv/live-tv/channel/failarmy-2
Adventure Earth;Nature & Travel;EN;Dedicated to wildlife, nature and the unique beauty of our planet.;https://watch.plex.tv/live-tv/channel/adventure-earth-3
La Bocina Latina;Music, En Español;ES;The future of Latin Music, delivering the best of what the genre has to offer and what is trending in Latin culture.;https://watch.plex.tv/live-tv/channel/la-bocina-latina
Camp Spoopy;Kids & Family;EN;Pumpkins, goblins and candy...and a puppy in a ghost costume?! Stay right here on Camp Spoopy for all your Halloween craze!;https://watch.plex.tv/live-tv/channel/camp-spoopy
Court Sports Network;Sports;EN;COURT SPORTS NETWORK – showcasing Pickleball, Padel, Tennis, Platform Tennis, Table Tennis, Badminton, Squash, Beach Tennis.;https://watch.plex.tv/live-tv/channel/court-sports-network
PickleTV;Sports;EN;The next great sports channel is here and it’s all about the fastest growing sport in America: Pickleball.;https://watch.plex.tv/live-tv/channel/pickletv
Ultimate Classic Wrestling;Sports;EN;The memories and mayhem of classic wrestling from one of the largest libraries of wrestling videos in the world.;https://watch.plex.tv/live-tv/channel/ultimate-classic-wrestling
Love Quest;Reality;EN;For a pure dose of romance and drama watch Love Quest - the channel for reality dating show enthusiasts;https://watch.plex.tv/live-tv/channel/love-quest
The Biggest Loser;Reality;EN;The Biggest Loser welcome 14 overweight contestants who will have to endure intense workouts for big rewards.;https://watch.plex.tv/live-tv/channel/the-biggest-loser
WipeoutXtra;Daytime TV;EN;The home of physical and exciting gameshows, where you can witness unexpected challenges.;https://watch.plex.tv/live-tv/channel/wipeoutxtra
McLeods Daughters;Drama TV;EN;When Jack McLeod passes away, his two daughters inherit Drovers Run, a vast cattle ranch in the Australian outback.;https://watch.plex.tv/live-tv/channel/mcleods-daughters
Fear Factor;Reality;EN;In Fear Factor, contestants overcome their fears in a series of challenges and the winner receives USD 50,000.;https://watch.plex.tv/live-tv/channel/fear-factor
Mythical 24/7;Comedy;EN;Mythical 24/7 has the best of Rhett & Link and Mythical, including Good Mythical Morning, Mythical Kitchen, and more!;https://watch.plex.tv/live-tv/channel/mythical-24-7
History & Warfare Now;History & Science;EN;Explore the tragedies and triumphs of history’s great battles, along with the technologies and personalities of the military.;https://watch.plex.tv/live-tv/channel/history-and-warfare-now-2
Women Behind Bars;True Crime;EN;Peek into the minds and motives of female convicts on this channel exclusively devoted to the documentary series Women Behind Bars.;https://watch.plex.tv/live-tv/channel/women-behind-bars
Glewed TV;Lifestyle;EN;Glewed TV offers engaging content genres including- food, children, sports, DIY, educational, documentaries and movies.;https://watch.plex.tv/live-tv/channel/glewed-tv
FreeTV Drama Vault;Movies;EN;From fan-favorite period pieces, thrilling police drama, and captivating love stories to fun and refreshing romantic comedies.;https://watch.plex.tv/live-tv/channel/freetv-drama-vault
FreeTV Fantasy;International;EN;From science fiction to the paranormal, FreeTV Fantasy seeks to expand your mind and question your reality. ;https://watch.plex.tv/live-tv/channel/freetv-fantasy
FreeTV Horror;Chills & Thrills;EN;A channel dedicated to the most suspenseful and nail-biting horror, sci-fi, and thrillers from around the world.;https://watch.plex.tv/live-tv/channel/freetv-horror-2
FreeTV Family;Kids & Family;EN;FreeTV Family promotes a family-oriented atmosphere with heartwarming content that is engaging, fun, and appropriate for all ages.;https://watch.plex.tv/live-tv/channel/freetv-family
FreeTV Crime;True Crime;EN;From movies to scripted series, FreeTV Crime features exhilarating crime fiction, police dramas, murder mysteries.;https://watch.plex.tv/live-tv/channel/freetv-crime
Cheaters;Reality;EN;Get obsessed with classic reality series Cheaters 24/7. People who think their significant other is cheating on them hire a hidden camera crew to investigate their suspicions.;https://watch.plex.tv/live-tv/channel/cheaters
The Pet Collective;Nature & Travel;EN;Trending clips, entertaining memes, and the funniest animal videos today. Simply put, we think animals are the best ever.;https://watch.plex.tv/live-tv/channel/the-pet-collective-2
Billiard TV;Sports;EN;Watch your favorite professional players from all over the world compete on the biggest billiards stage!;https://watch.plex.tv/live-tv/channel/billiard-tv
Lone Star;Classic TV;EN;The Lone Star Channel’s films are restored in HD, offering the best singing cowboys, six-gun shooters, and everything in-between.;https://watch.plex.tv/live-tv/channel/lone-star
Made In Hollywood;Daytime TV;EN;Go behind-the-screen and catch celebrity interviews with Hollywood’s hottest stars as they preview their new movies!;https://watch.plex.tv/live-tv/channel/made-in-hollywood-2
Novelisima;En Español;ES;Novelisma, grandes historias que quieres revivir, descubrir y compartir. Actuaciones estelares y producciones que te emocionarán.;https://watch.plex.tv/live-tv/channel/novelisima
Travel Escapes;Nature & Travel;EN;Join us on a breathtaking journey, from spectacular travel locations to some of the world’s most unique culinary destinations.;https://watch.plex.tv/live-tv/channel/travel-escapes
Love Stories TV;Lifestyle;EN;For the hopelessly romantic, Love Stories TV brings you real weddings and relationships from across the world. Grab your tissues and prepare for happy tears!;https://watch.plex.tv/live-tv/channel/love-stories-tv
Popflix;Movies;EN;Sit back, grab some popcorn and enjoy 24 hours of non-stop FREE movies including comedy, action, sci-fi, thriller, horror, documentary and family films!;https://watch.plex.tv/live-tv/channel/popflix
Iron Chef;Food & Home;EN;Chefs from all over the world come to Kitchen Stadium to do culinary battle with one of Chairman Kaga’s “Iron Chefs.” Tune in to see how each Iron Chef and challenger makes use of each episode’s featured ingredient to win the cook-off.;https://watch.plex.tv/live-tv/channel/iron-chef
Beyond Paranormal;History & Science;EN;Extreme ghost stories, UFO sightings & conspiracy theories, the best docu-series, docs & vodcasts from the supernatural universe.;https://watch.plex.tv/live-tv/channel/beyond-paranormal
PokerGO;Sports;EN;PokerGO is the world's largest poker content company. Exclusive content includes the World Series of Poker and High Stakes Poker.;https://watch.plex.tv/live-tv/channel/pokergo
